Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,55-64,35,35,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,65-74,119,119,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,75-84,263,263,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,85+,517,517,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Heart failure,I50,All Ages,944,944,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,10,11,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,43,44,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,86,90,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,121,122,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,178,181,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,439,449,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,55,57,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,110,118,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,137,146,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,202,211,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,521,552,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,45-54,28,28,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,55-64,104,104,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,65-74,190,190,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,75-84,259,259,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,85+,243,243,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Sepsis,Sepsis,A40-A41,All Ages,829,829,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,13,17,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,49,53,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,113,125,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,162,176,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,162,177,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,501,550,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,45-54,30,30,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,55-64,88,89,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,65-74,196,199,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,75-84,263,264,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,85+,345,346,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Diabetes,Diabetes,E10-E14,All Ages,926,932,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,45-54,10,10,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,55-64,37,37,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,65-74,41,41,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,75-84,19,19,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Obesity,Obesity,E65-E68,All Ages,128,128,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,45-54,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,65-74,26,26,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,75-84,97,97,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,85+,228,228,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Alzheimer disease,Alzheimer disease,G30,All Ages,358,358,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,26,26,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,142,142,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,500,501,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,"1,437","1,438",
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,"2,108","2,110",
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,45-54,26,26,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,55-64,105,106,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,65-74,215,226,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,75-84,292,311,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,85+,392,419,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,Renal failure,Renal failure,N17-N19,All Ages,"1,037","1,096",
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,24,55,
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,39,70,
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,53,104,
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,94,191,
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,225,451,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,13,18,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,32,59,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,103,143,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,355,509,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,793,"1,144",
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,"1,164","1,623",
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,"1,699","2,191",
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,"4,162","5,694",
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,25-34,23,23,
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,35-44,64,64,
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,45-54,219,219,
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,55-64,770,770,
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,65-74,"1,753","1,753",
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,75-84,"3,042","3,042",
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,85+,"5,244","5,244",
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MA,COVID-19,COVID-19,U071,All Ages,"11,124","11,124",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,26,27,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,70,73,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,288,297,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,707,729,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,"1,467","1,516",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,"1,742","1,794",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,"1,648","1,669",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,"5,955","6,112",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,29,29,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,133,142,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,266,280,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,356,368,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,298,305,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,"1,093","1,135",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,18,18,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,70,70,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,143,143,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,263,263,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,229,229,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,86,86,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,814,814,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,25-34,19,19,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,35-44,50,51,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,45-54,157,159,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,55-64,514,522,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,65-74,"1,132","1,162",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,75-84,"1,337","1,366",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,85+,"1,143","1,165",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory failure,J96,All Ages,"4,355","4,447",
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,25-34,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,55-64,11,11,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,65-74,20,20,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,75-84,33,33,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,85+,33,33,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Respiratory arrest,R09.2,All Ages,102,102,
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/31/2021,01/04/2020,01/30/2021,MI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
